Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR14419692	2021-05-04 16:27:40	2021-05-04 16:17:49	51341363	15505091626	51341363	302	4699		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419692/SRR14419692.1	SRX10771204	UC_58	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856252	SAMN18804215	simple	3483	Cannabis sativa	UC_58					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	29D44E15AE79FD2B7A7B6F41B7D1D5B8	9A24DEE1433039F1EEA4EE0EC5A05D7B
SRR14419679	2021-05-04 16:36:55	2021-05-04 16:31:18	49803485	15040652470	49803485	302	4649		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419679/SRR14419679.1	SRX10771217	UC_70	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856265	SAMN18804227	simple	3483	Cannabis sativa	UC_70					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	2277DF2AB489292AD7CE425104F13537	3448D9B70FF033F646A1E388706969DA
SRR14419690	2021-05-04 16:31:58	2021-05-04 16:26:59	50264511	15179882322	50264511	302	4598		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-22/SRR14419690/SRR14419690.1	SRX10771206	UC_60	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856254	SAMN18804217	simple	3483	Cannabis sativa	UC_60					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	96B93F66D9B33C0DFA8FA8371A4B2CE2	AB3BD12441C37FC3D76BB3CEFBEA971B
SRR14419687	2021-05-04 16:36:55	2021-05-04 16:20:06	44955831	13576660962	44955831	302	4180		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419687/SRR14419687.1	SRX10771209	UC_62	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856257	SAMN18804219	simple	3483	Cannabis sativa	UC_62					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	60CD55660BE22BC9A5335C7C4A99C743	E538AFA77EB174A0D8777FC9C931EA04
SRR14419677	2021-05-04 16:18:16	2021-05-04 16:12:00	43434689	13117276078	43434689	302	4054		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419677/SRR14419677.1	SRX10771219	UC_71	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856267	SAMN18804228	simple	3483	Cannabis sativa	UC_71					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	D13C83EA6B1E2516ADA177D0D393C388	D83D8EFDD1CBA2AA0C808A5CD2C39EE2
SRR14419685	2021-05-04 16:11:43	2021-05-04 16:06:25	41154087	12428534274	41154087	302	3801		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-24/SRR14419685/SRR14419685.1	SRX10771211	UC_64	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856259	SAMN18804221	simple	3483	Cannabis sativa	UC_64					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	7A01A1D7E58E80280C98F12C046E634D	553BC052943D03BB2D5B9827B96674D6
SRR14419597	2021-05-04 16:07:13	2021-05-04 16:02:37	38749163	11702247226	38749163	302	3681		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419597/SRR14419597.1	SRX10770914	UC_155	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8855962	SAMN18804302	simple	3483	Cannabis sativa	UC_155					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	A1D22955B10AAF5C5B8D13B12DB20E02	EA1255574BCEFD4BEB25273D5DAF9746
SRR14419739	2021-05-04 16:20:46	2021-05-04 16:13:47	39876770	12042784540	39876770	302	3645		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR14419739/SRR14419739.1	SRX10771157	UC_34	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856205	SAMN18804194	simple	3483	Cannabis sativa	UC_34					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	6A515C5974DCFD2D3CD7E893D2618DB6	F89688932BD539C918F98A1EAF5A50C2
SRR14419584	2021-05-04 16:06:47	2021-05-04 16:02:58	36806367	11115522834	36806367	302	3501		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-22/SRR14419584/SRR14419584.1	SRX10770927	UC_168	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8855975	SAMN18804314	simple	3483	Cannabis sativa	UC_168					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	F9D4D2CBDE48BA53E69F8AC8E0AA3F8A	5E11BE531016F6E69EBB5F5C18AE0263
SRR14419817	2021-05-04 16:31:58	2021-05-04 16:29:23	36641041	11065594382	36641041	302	3399		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419817/SRR14419817.1	SRX10771079	UC_27	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856127	SAMN18804187	simple	3483	Cannabis sativa	UC_27					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	26F0096CFA953F6FBF6B8D56ABE618DA	91D8855FE8EAFD650689BACD363AE641
SRR14419663	2021-05-04 16:11:43	2021-05-04 16:06:47	35694094	10779616388	35694094	302	3372		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-24/SRR14419663/SRR14419663.1	SRX10771233	UC_86	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856281	SAMN18804241	simple	3483	Cannabis sativa	UC_86					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	98BF4A7708840E1E0014F759EBAE94BE	30ABF335EF98916850C88A0AC9872629
SRR14419736	2021-05-04 17:35:52	2021-05-04 16:55:55	35565901	10740902102	35565901	302	3283		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-24/SRR14419736/SRR14419736.1	SRX10771160	UC_500	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856209	SAMN18804520	simple	3483	Cannabis sativa	UC_500					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	F6AA8B20C1353C6051B04C3703A3A2FE	C1195034A5C59CB79519AC5350615272
SRR14419703	2021-05-04 16:14:11	2021-05-04 16:09:24	35428571	10699428442	35428571	302	3249		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-24/SRR14419703/SRR14419703.1	SRX10771193	UC_46	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856241	SAMN18804205	simple	3483	Cannabis sativa	UC_46					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	4D521196BCE7E73A7D7078D2A365CFBE	AA490F283FE4F067CCE13302E405E552
SRR14419596	2021-05-04 16:01:18	2021-05-04 15:58:01	35445368	10704501136	35445368	302	3246		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-23/SRR14419596/SRR14419596.1	SRX10770915	UC_156	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8855963	SAMN18804303	simple	3483	Cannabis sativa	UC_156					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	3578635CCE977D3E0C14A2A91FD356F5	0CC9B6964E226FFEEC4C4FB7082F1432
SRR14419701	2021-05-04 16:19:26	2021-05-04 16:15:52	34780020	10503566040	34780020	302	3211		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR14419701/SRR14419701.1	SRX10771195	UC_49	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856243	SAMN18804207	simple	3483	Cannabis sativa	UC_49					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	958C76FF811291E8FEBA33733FE39F57	B1757C6252B26BFFFAB5AF9F28B57C97
SRR14419894	2021-05-04 16:38:15	2021-05-04 16:34:00	34629424	10458086048	34629424	302	3207		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-22/SRR14419894/SRR14419894.1	SRX10771002	UC_18	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856050	SAMN18804180	simple	3483	Cannabis sativa	UC_18					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	A27F9BFE1F03EA937868C2D53FE40DD8	1578884EAB86D1F715E62D871FB91E82
SRR14419609	2021-05-04 16:01:18	2021-05-04 15:57:44	35117644	10605528488	35117644	302	3191		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-22/SRR14419609/SRR14419609.1	SRX10770902	UC_141	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8855950	SAMN18804291	simple	3483	Cannabis sativa	UC_141					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	B999141C0327F4F21355A0837F25F830	4E597255F36CCB9D0036EFD1A69D942B
SRR14419702	2021-05-04 16:28:48	2021-05-04 16:25:50	34322623	10365432146	34322623	302	3162		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR14419702/SRR14419702.1	SRX10771194	UC_48	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856242	SAMN18804206	simple	3483	Cannabis sativa	UC_48					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	A5D1925012E62D1D3C79C6ACA882E78A	6B2669363890B1365C69262BE05529EC
SRR14419761	2021-05-04 16:18:16	2021-05-04 16:14:01	31442568	9495655536	31442568	302	3116		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-24/SRR14419761/SRR14419761.1	SRX10771135	UC_32	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856183	SAMN18804192	simple	3483	Cannabis sativa	UC_32					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	79C96F6DB560DD834AE4A504315F59F7	3F8F3523FFF3F274984825E9B2A1DF28
SRR14419710	2021-05-04 16:14:11	2021-05-04 16:10:50	33229120	10035194240	33229120	302	3072		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR14419710/SRR14419710.1	SRX10771186	UC_38	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8856234	SAMN18804198	simple	3483	Cannabis sativa	UC_38					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	2AD2F6825A40CDE954DE74E925795D26	4CF20E4AC9632AFCFA7AF0C3E2345C1A
SRR14419585	2021-05-04 15:58:14	2021-05-04 15:54:34	33339517	10068534134	33339517	302	3053		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos3/sra-pub-run-24/SRR14419585/SRR14419585.1	SRX10770926	UC_167	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP318419	PRJNA723060		723060	SRS8855974	SAMN18804313	simple	3483	Cannabis sativa	UC_167					not applicable		no					COLORADO STATE UNIVERSITY	SRA1220578		public	A60DBB8471801A0BDB724EB0EC773B3F	7DD19A3833334758D58A6CD17082174D
