id	DTM	LWC_g	PLHT_cm	TSM_g	STEM_DIAMETER_cm	STEM_BIOMASS_g	SEED_YIELD_g	TOTAL_DRY_BIOMASS_g	CBC (%)	THCA (%)	CBDA (%)	CBGA (%)	3.carene (ppm)	A.pinene (ppm)	A.terpinene (ppm)	B.caryophyllene (ppm)	Camphene (ppm)	Caryophyllene.Oxide (ppm)	Citronellol (ppm)	Eucalyptol (ppm)	Geraniol (ppm)	G.terpinene (ppm)	Linalool (ppm)	Linalyl.Acetate (ppm)	Ocimene.1 (ppm)
UC-1																									
UC-3	91.66666667	0.446666667	50.4	12.8	0.6	4.91	7.006666667	34.38																	
UC-5	94	1.06	100	16.4	1.4	32.34	46.22	157.34	0	0.0003	0.0088	0.0004													
UC-6	98	0.8	91.6	18	1.1	29.98	77.91	191.5	0	0	0.002	0.5499	0	19.18	1.82	12.89	0.32	1.8	0	0	0	0.88	0	0	0.56
UC-8	96	0.8	121.9	14	1.1	23.42	23.84	87.42	0	0.0015	0.0602	0.0006	0	100.36	0	48.84	0	8.67	0	7.22	0	3.49	0	0	0
UC-9	103.6666667	0.656666667	70.3	12.2	0.7	11.55666667	4.783333333	56.66333333																	
UC-11	97.66666667	0.37	102.2333333	13.8	0.833333333	23.25	18.37333333	185.85	0	0	0.0009	0.0036	0	19.32	0	1.14	0.45	9.38	0.5	0	2.32	0	0	0	0
UC-12	110	1.31	85.9	13.8	0.75	17.03	16.27	95.32	0	0.0034	0.116	0	0	73.32	4.31	31.49	2.14	7.36	0	0	2.77	2.28	0	2.05	4.17
UC-14	87.33333333	1.13		13.2	1	14.01333333	24.01333333	83.75333333	0	0	0.1963	0	0	57.47	4.11	49.04	0	9.13	0	0	0	3.79	0	0	2.05
UC-16	101.3333333	0.8	98.26666667	16	1	23.72666667	47.98333333	136.37	0	0.0033	0.1189	0.0041	0	116.36	4.79	47.88	0	14.24	0	0	0	5.32	0	0	4.92
UC-18	94	1.02	69.6	12.8	0.6	6.64	11.12	38.06																	
UC-19	105	1.39	99.1	16.8	1.1	29.21	58.35	161.43	0.0004	0.0007	0.0414	0.0007	0	81.32	3.26	23.9	2	35.12	0	0	0	2.47	2.76	0	2.72
UC-20	98	0.61	65.4	17.8	0.8	12.04	26.03	71.41	0	0.0003	0.0092	0.0005	0	64.55	0	2.42	0.92	21.21	3.93	0	5.46	0	1.45	2.98	0
UC-21	105	0.806666667	68.86666667	15.8	0.866666667	15.91666667	3.903333333	94.95333333	0.0008	0.0053	0.1979	0.0026	0	126.18	4.26	38.56	1.91	4.95	0	0	0	2.95	0	0	0
UC-24	112	1.506666667	92.03333333	15.4	1	24.37333333	28.7	97.02666667	0	0.0009	0.0404	0	0	102.72	1.22	27.47	1.9	18.6	0	3.3	2.85	2.6	0	0	0
UC-26	98	0.36	40.7	11.8	0.5	4.8	8.6	37.38	0	0.0014	0.053	0.0006													
UC-27	84	0.403333333		17.2	0.883333333	14.36666667	13.03666667	68.98	0	0.0073	0.2827	0.0119	0	86.97	5.68	56.41	1.4	11.25	0	0	0	5.1	0	2.21	3.11
UC-28	107	1.09	155.1	15.4	2	96.38	65.95	320.85	0.0022	0.0216	0.5945	0.0282	0	62.66	2.64	22.64	1.8	5.62	0	3.69	0	1.79	0	2.46	1.97
UC-29	98	1.44	158	11.8	1.3	52.45	62.24	245.19	0.0011	0.0062	0.2177	0.0035	1.52	88.37	5.31	88.74	1.13	13.42	0	0	0	3.53	0	2.57	4.75
UC-30	98	1.28	73.6	15.4	1.1	29.21	9.55	131.24	0	0	0.0017	0.0008													
UC-31	85.66666667	0.606666667		13.8	0.65	2.73	1.423333333	21.20333333	0	0.005	0.1856	0.0009	0	51.38	3.92	14.36	0	14.96	0	0	0	6.19	0	0	0
UC-32	94	0.71	103.6	17.2	1	28.11	62.26	164.39	0	0	0.0015	0.0006	0	31.93	0	4.11	0.69	36.31	1.78	1.45	4.71	0	0	1.78	0
UC-33	94	1.04	50	12.6	0.8	6.48	5.44	41.18	0	0.0015	0.0694	0.0009	0	31.61	0	19.87	0	9.73	0	3.08	0	0	0	0	0
UC-34	107	2.22	117.1	14.2	1.3	28.88	52.17	158.29	0	0	0.7806	0	0	99.41	4.18	32.74	3.94	10.22	0	0	0	3.45	0	3.93	0
UC-35	86	1.04	70.5	13.8	0.6	5.84	10.84	42.41	0	0.0062	0.2339	0.0056	0	210.35	6.43	56.33	0	28.71	0	11.8	0	6.69	4.85	0	0
UC-37	110	1.15	69.8	14.6	0.9	11.84	11.94	47.25	0	0.0073	0.2818	0.0105	5.8	247.52	4.66	13.37	8.03	16.33	0	21.41	0	6.67	0	0	0
UC-38	94	1.65	91.6	4.6	0.9	13.01	0.31	44.67																	
UC-41	110	3.18	160.1	13.8	1.7	88.83	58.48		0	0	0.724	0.0933	0	353.48	9.88	44.57	10.21	5.51	0	0	0	9.52	0	0	7.75
UC-43	96	0.38	40.6	11.59090909	0.45	2.56	0.54	11.9	0.0009	0.0021	0.0741	0.002	0	59.87	2.16	49.32	1.36	7.81	0	2.01	0	1.54	0	1.95	0
UC-44	105	1.7	121.3	15.4	1.1	22.06	30.83	49.19	0	0.0004	0.0211	0.0203	0	22.39	0	13.98	0	28.74	0	0	0	0	0	0	0
UC-46	105	0.45	47	15.6	0.5	2.91	3.9	13.84	0.0018	0.0268	0.6996	0.029	8.4	242.55	9.73	42.9	8.52	2.09	0	9.53	0	8.92	0	4.82	8.14
UC-48		0.7	60.7	60.7																					
UC-49	96	0.57	51.7	13.6	0.6	5.75	4.2	24.78	0.0005	0	0.002	0.0725	0	96.15	0	182.24	0	33.28	0	0	0	0	0	0	0
UC-50	107	1.02	67	16	0.9	15.13	13.51	105.26	0	0	0.0016	0.0004	0	5.48	0.34	0	0	3.38	0	0	1.76	0	0	0	0
UC-51	101	1.34	94.6	17.6	1.1	15.4	34.04	89.29	0	0	0.0054	0.3591	0	13.57	0	2.68	0	2.11	0	1.09	0	0	1.29	2.52	0.35
UC-52	82	0.33		9.4	0.5	3.36	1.82	14.13																	
UC-53	84	0.3		9.411764706	0.4	0.96	0.44	6.29																	
UC-56	107	2.93	163.1	11.6	1.3	52.65	53.34	199.07	0	0	0.001	0.0004	0	17.95	0	2.12	0	6.94	0	0	4.49	0	0	0	0
UC-57	101	0.61	66.7	14	0.55	5.79	7.61	29.7																	
UC-58	101	1.51	109.8	17.6	1.1	46.01	62.93	171.64	0	0	0.0019	0.0008	0	14.18	0	1.68	0	11.7	0	0	2.74	0	0	1.54	0
UC-60	91	0.62	134.4	15.6	1.4	58.45	42.1	200.45																	
UC-61	107	2.02	136.9	17.4	1.4	30.4	11.2	98.85	0	0.0115	0.3408	0.0231	5.79	175.86	3.67	9.65	6.84	3.6	0	4.36	0	3.79	0	9.1	0
UC-62	105	1.08	103.9	14.6	1	21.96	28.72	115.38	0	0.0022	0.0678	0	0	43.22	1.26	28.58	1.08	11.37	0	3.64	1.95	1.56	0	0	1.67
UC-63	107	1.42	94.8	14	0.9	19.14	30.27	108.91																	
UC-64	84	0.8		13.2	0.6	8.46	5.98	42.62	0.0009	0.002	0.0719	0.012	1.65	133.94	2.71	56.37	1.82	7.66	0	3.2	0	1.92	1.94	2.18	0
UC-67	91	1.89	150	11.4	1.2	28.53	46.22	133.99	0	0.008	0.2588	0.0025	4.67	291.06	16.65	62.06	9.02	114.63	14.38	17.9	7.62	11.4	23.75	4.42	5.44
UC-68	96	1.23	113.2	14.2	1.5	42.24	15.23	162.63	0	0.0005	0.0226	0.0003	0	41.08	0	15.91	0	24.99	1.1	0	0	0	0	2.26	0.85
UC-69	110	3.07	102.6	12.2	1.9	26.97	8.09	79.2																	
UC-70	101	2.26	110.7	20	1.4	3.46	47.12	149.62	0	0	0.0019	0.0249	0.78	61.54	2.13	16	1.14	17.15	0	7.22	2.09	1.75	0	0	0.9
UC-72	91	1.31	95.5	12	1.1	19.6	1.52	48.24	0.0014	0	0.0106	0.0806	0	101.05	4.03	86.19	1.42	13.97	0	0	0	3.6	0	0	3.2
UC-73	94	0.01	23	11.4	0.4	1.36	2.02	11.69	0	0	0.0014	0	0	22.36	0	4.53	0	22.04	0	0	6.74	0	0	0	0
UC-74	82	0.37		10.6	0.6	2.73	0.76	20.39	0	0	0.002	0.0002	0	35.36	0	0	0.78	11.57	4.19	0	8.72	0	0.46	2.03	0
UC-75	92	0.63	61.56666667	13.2	0.7	13.47666667	17.07	71.49																	
UC-76	84	0.64		11.05263158	0.5	4.2	0.33	16.93	0.0009	0.013	0.373	0.019	0	45.13	0	41.28	0	2.28	0	0	0	1.72	0	0	0
UC-77	94	0.76	82.4	82.4																					
UC-78	107	1.98	158.5	16	1.7	71.4	102.95	309.33	0	0.003	0.1254	0.0121	0	73.07	3.92	24.46	0	27.76	0	0	0	0	0	0	0
UC-79	117	1.13	91.5	14	1.4	42.9	31	234.94																	
UC-80	98	1.14	152.4	15.8	1.2	42.34	49.65	170.2	0	0.0123	0.3789	0.0211	4.11	95.2	3.29	3.37	2.87	3.89	0	3.83	0	3	1.49	3.84	0
UC-82	105	2.4	117	14	1	21.74	27.94	88.01	0.0005	0.003	0.1201	0.0016	0	105.17	5.1	59.22	1.9	21.65	1.95	0	4.58	4.56	2.87	1.64	7.97
UC-85	92.5	1.17	96	18.4	1.05	14.525	30.855	83.3	0	0.0035	0.1115	0.0049	1.25	136.87	5.16	51.25	2.06	10.96	0	8.38	0	3.66	0	2.94	6.88
UC-86	105	1.1	165.2	13.8	1.6	105.54	73.56	332.12	0	0	0.0004	0.0001	0	28.81	0	0	0	23.1	6.04	0	12.98	0	0	1.81	0
UC-88	86	0.74	121.8	15.2	1	23.06	36.06	101.54	0.0034	0.0267	0.7352	0.0503	1.25	113.54	3.73	58.57	3.04	11.87	0	7.53	0	3.24	1.73	5.26	4.4
UC-89	105	0.98	98.6	13.4	1.2	32.4	51.77	176.6	0	0	0	0.2217	0	26.51	0	0	0	4.29	0	0	0	0	0	0	0
UC-90	107	2.8	112.9	12.4	1.1	15.94	8.32	82.94	0	0.0173	0.6022	0.0063	12.11	259.36	8.04	105.9	11.46	38.91	0	17.18	0	8.23	0	0	0
UC-91	98	2.62	126.2	13.2	1.3	33.5	69.38	215.06	0	0	0.0037	0.0012	0	57.21	0	2.85	0	25.76	11.84	0	21.21	0	8.18	0	0
UC-92	95.5	1.36		16	0.85	8.085	6.915	51.615	0	0.0045	0.1595	0.0025	0	88.12	0	67.08	0	20.25	0	4.8	0	0	0	0	0
UC-95	105	2.16	127.6	22.8	1.8	39.58	20.42	126.37	0	0.0196	0.4638	0.03	1.38	72.99	2.67	22.46	2.49	4.29	0	4.8	0	2.26	0.67	4.22	3.5
UC-97	107	0.84	155	14	1.4	55.24	45.94	221.09	0	0.0013	0.0461	0.0076	0	41.46	0	10.42	1.19	19.35	0	0	3.86	0	0	0	0.73
UC-98	96	0.49	36.6	3	0.5	3.08	0.22	20.54	0	0	0.0015	0	0	14.65	0	1.35	0.51	16.3	0	0	4.17	0	0	1.63	0
